census_year,HEI_code,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses
2019,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,federally_owned,university,1,5,51,5103403,2,8075408.31,919015573.44,0,273790616.9,108949048.75,105012445,122578958,9606414.13,2512494.15,304641004.82
2019,2,UNIVERSIDADE DE BRASÍLIA,federally_owned,university,2,5,53,5300108,2,42309485.04,63766319.01,53681013.45,843861323.93,0,287375615.81,210265895.61,23154904.42,10350582.3,473854910.33
2019,3,UNIVERSIDADE FEDERAL DE SERGIPE,federally_owned,university,3,2,28,2806701,2,2064512.28,883685087.41,59978137.27,284769411.85,153337375.6,108034657.17,149160413.67,8212361.64,1445146.3,320418588.31
2019,4,UNIVERSIDADE FEDERAL DO AMAZONAS,federally_owned,university,4,1,13,1302603,1,5603181.06,1063314898.42,1721653.86,448206222.23,0,132201005.75,183971171.89,12676251.59,1312837.53,68453298.55
2019,5,UNIVERSIDADE FEDERAL DO PIAUÍ,federally_owned,university,14054,2,22,2211001,2,8060281.08,836910957.14,10979492.81,683438319,0,0,163112358.43,7835737,1339772.3,0
2019,6,UNIVERSIDADE FEDERAL DE OURO PRETO,federally_owned,university,6,3,31,3146107,2,5905654.74,499218511.41,30461740.62,169161732.76,58998771.15,40920865.82,49075498.59,73345.77,828200,216527492.7
2019,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,federally_owned,university,1302,3,35,3548906,2,4209311.55,10426023.25,764191884.59,209736728.4,139824485.6,95183980.79,63390469.11,13498425.66,755841.18,132298694.12
2019,8,UNIVERSIDADE FEDERAL DE VIÇOSA,federally_owned,university,15588,3,31,3171303,1,9643515.2,978861159.91,1530406.07,368205404.08,0,120746904.93,148585438.24,27385128.13,1040393.42,5015107.33
2019,9,UNIVERSIDADE ESTADUAL DE LONDRINA,state_owned,university,37,4,41,4113700,2,18454376,791688915,60524877,250841862,314295330,130855305,139665661,7447206,4959880,0
2019,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,private_nonprofit,university,10,4,41,4106902,2,652351476.02,3361504.37,6311982.36,185080757.83,52202265.03,108865152.26,103892593.3,204568458.05,7415736.28,0
2019,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,private_nonprofit,university,11,2,26,2611606,2,156854682,0,50456955,74852160,32069790,42261883,45473330,17408235,635600,3185575
2019,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,federally_owned,university,15596,4,43,4315602,1,3920562.43,593579460.73,467815.82,208003251.74,124801951.04,83201300.69,73641539.77,7429329.42,8182393.31,0
2019,13,UNIVERSIDADE DE CAXIAS DO SUL,private_nonprofit,university,13,4,43,4305108,2,317830674.88,0,23340784.81,116640929.45,40981947.99,38592335.59,126240140.93,13363049.17,4143807.32,0
2019,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,private_nonprofit,university,14,4,43,4318705,2,412720706,48648435,69215817,132009348,36078384,45598881,102854805,8555525,14070742,32473758
2019,15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,private_nonprofit,university,15046,3,33,3303906,1,46198503.13,0,834060.58,23197965.58,7367032.7,3468683.37,6647854.85,396918.57,0,2575759.6
2019,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,federally_owned,university,9140,3,31,3170206,2,8014066.92,829371252.66,6909390.03,325488978.46,116440189.4,207078746.92,184543585.61,10743209.22,0,0
2019,18,UNIVERSIDADE CATÓLICA DE PELOTAS,private_nonprofit,university,18,4,43,4314407,2,113995940.85,0,5009556.06,29760939.73,10314831.92,6707597.48,249635.84,3410787.98,3085671.97,61818974.51
2019,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,private_nonprofit,university,19,3,35,3509502,2,302672689.42,5600493.65,56104124.02,94571612.58,50702652.07,65153639.83,56078866.55,25510000,9919130.66,8224226.54
2019,20,UNIVERSIDADE DE PASSO FUNDO,private_nonprofit,university,20,4,43,4314100,1,290319968.74,1900218.71,22579106.91,148842717.26,53465483.62,14209362.64,102567282.16,6077092.99,3587287.34,19933426.34
2019,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,private_nonprofit,university,21,4,43,4314902,2,613746222,0,88647674,122683734,87602977,113001397,167115574,24764532,24900847,133376746
2019,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,private_nonprofit,university,22,3,35,3550308,1,663105246.61,0,78367738.57,131193055.6,106761962.71,113083327.62,0,46889524.63,133533289.9,239468700.7
2019,23,UNIVERSIDADE FEEVALE,private_nonprofit,university,23,4,43,4313409,2,241532175.33,3701561.41,37232233.07,51057513.14,32486731.69,31617509.32,67765696.96,12998196.4,9714866.09,73212964.93
2019,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,state_owned,university,24,2,29,2913606,2,3097039.3,6586961.92,216911517.72,133087503.44,14341015.14,28313146.52,31305565.83,2462121.11,9565958.46,0
