HEI_code,active,communitary,confessional,filantropic
1,TRUE,FALSE,FALSE,FALSE
2,TRUE,FALSE,FALSE,FALSE
3,TRUE,FALSE,FALSE,FALSE
4,TRUE,FALSE,FALSE,FALSE
5,TRUE,FALSE,FALSE,FALSE
6,TRUE,FALSE,FALSE,FALSE
7,TRUE,FALSE,FALSE,FALSE
8,TRUE,FALSE,FALSE,FALSE
9,TRUE,FALSE,FALSE,FALSE
10,TRUE,TRUE,TRUE,FALSE
11,TRUE,TRUE,TRUE,FALSE
12,TRUE,FALSE,FALSE,FALSE
13,TRUE,TRUE,FALSE,FALSE
14,TRUE,TRUE,TRUE,FALSE
15,TRUE,TRUE,TRUE,FALSE
16,FALSE,FALSE,FALSE,FALSE
17,TRUE,FALSE,FALSE,FALSE
18,TRUE,TRUE,TRUE,FALSE
19,TRUE,TRUE,TRUE,FALSE
20,TRUE,TRUE,FALSE,FALSE
21,TRUE,TRUE,TRUE,FALSE
22,TRUE,TRUE,TRUE,FALSE
23,TRUE,TRUE,FALSE,FALSE
24,TRUE,FALSE,FALSE,FALSE
26,TRUE,FALSE,FALSE,FALSE
27,TRUE,FALSE,FALSE,FALSE
29,TRUE,FALSE,FALSE,FALSE
30,TRUE,FALSE,FALSE,FALSE
31,TRUE,FALSE,FALSE,FALSE
32,TRUE,FALSE,FALSE,FALSE
33,TRUE,FALSE,FALSE,FALSE
34,TRUE,FALSE,FALSE,FALSE
35,TRUE,FALSE,FALSE,FALSE
36,TRUE,FALSE,FALSE,FALSE
37,TRUE,FALSE,FALSE,FALSE
38,TRUE,FALSE,FALSE,FALSE
40,TRUE,FALSE,FALSE,FALSE
41,FALSE,FALSE,FALSE,FALSE
42,FALSE,FALSE,FALSE,FALSE
43,TRUE,FALSE,FALSE,FALSE
46,FALSE,FALSE,FALSE,FALSE
47,TRUE,FALSE,FALSE,FALSE
54,TRUE,FALSE,FALSE,FALSE
55,TRUE,FALSE,FALSE,FALSE
56,TRUE,FALSE,FALSE,FALSE
57,TRUE,FALSE,FALSE,FALSE
58,TRUE,FALSE,FALSE,FALSE
59,TRUE,FALSE,FALSE,FALSE
60,TRUE,FALSE,FALSE,FALSE
67,TRUE,FALSE,FALSE,FALSE
68,TRUE,FALSE,FALSE,FALSE
71,TRUE,FALSE,FALSE,FALSE
72,TRUE,FALSE,FALSE,FALSE
73,TRUE,FALSE,FALSE,FALSE
74,TRUE,FALSE,FALSE,FALSE
75,FALSE,FALSE,FALSE,FALSE
76,TRUE,FALSE,FALSE,FALSE
77,TRUE,FALSE,FALSE,FALSE
78,TRUE,FALSE,FALSE,FALSE
79,TRUE,FALSE,FALSE,FALSE
80,TRUE,TRUE,FALSE,FALSE
81,TRUE,TRUE,FALSE,FALSE
82,TRUE,TRUE,FALSE,FALSE
83,TRUE,TRUE,FALSE,FALSE
84,FALSE,FALSE,FALSE,FALSE
87,TRUE,FALSE,FALSE,FALSE
88,FALSE,FALSE,FALSE,FALSE
89,FALSE,FALSE,FALSE,FALSE
93,TRUE,FALSE,FALSE,FALSE
94,TRUE,FALSE,FALSE,FALSE
95,TRUE,FALSE,FALSE,FALSE
99,TRUE,FALSE,FALSE,FALSE
107,TRUE,FALSE,FALSE,FALSE
109,TRUE,FALSE,FALSE,FALSE
124,TRUE,FALSE,FALSE,FALSE
125,TRUE,FALSE,FALSE,FALSE
126,TRUE,FALSE,FALSE,FALSE
131,TRUE,FALSE,FALSE,FALSE
135,TRUE,TRUE,FALSE,FALSE
137,TRUE,FALSE,TRUE,FALSE
138,TRUE,FALSE,FALSE,FALSE
139,TRUE,FALSE,FALSE,FALSE
140,TRUE,FALSE,FALSE,FALSE
141,TRUE,FALSE,FALSE,FALSE
142,TRUE,FALSE,FALSE,FALSE
143,TRUE,FALSE,FALSE,FALSE
144,TRUE,TRUE,FALSE,FALSE
145,FALSE,FALSE,FALSE,FALSE
146,TRUE,FALSE,FALSE,FALSE
149,TRUE,FALSE,FALSE,FALSE
150,TRUE,TRUE,FALSE,FALSE
151,TRUE,FALSE,FALSE,FALSE
152,TRUE,FALSE,FALSE,FALSE
