HEI_code,students_total,students_bachelor,students_license,students_technology,students_base_cycle,students_certification,students_classroom,students_distance,dist_load,campi,census_year,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses,teaching_bac_dist,teaching_bac_pres,teaching_post_dist,teaching_post_pres,service_external,service_management,research,research_w_funding,full_time_ex,full_time_nex,part_time,hourly_contract,doctor,master,specialist,bachelor,none,active,communitary,confessional,filantropic
1,20633,75,39,0,0,0,108,6,0.00599907407407407,7,2019,UNIVERSIDADE FEDERAL DE MATO GROSSO,federally_owned,university,1,5,51,5103403,2,8075408.31,919015573.44,0,273790616.9,108949048.75,105012445,122578958,9606414.13,2512494.15,304641004.82,0.0182203389830508,0.83728813559322,0,0.216525423728814,0.329237288135593,0.635169491525424,0.661864406779661,0.0224576271186441,0.740254237288136,0.216101694915254,0.0436440677966102,0,0.639406779661017,0.224152542372881,0.0559322033898305,0.0805084745762712,0,TRUE,FALSE,FALSE,FALSE
2,36292,90,44,0,15,0,140,9,0,5,2019,UNIVERSIDADE DE BRASÍLIA,federally_owned,university,2,5,53,5300108,2,42309485.04,63766319.01,53681013.45,843861323.93,0,287375615.81,210265895.61,23154904.42,10350582.3,473854910.33,0.0381341504937011,0.940415389853592,0,0.383724889342867,0.45658835546476,0.196799455226422,0.342526387470208,0,0.830779707184202,0.100442628532516,0.0687776642832823,0,0.86789240721825,0.114402451481103,0.0115764385427307,0.00612870275791624,0,TRUE,FALSE,FALSE,FALSE
3,24937,76,40,0,0,0,105,11,0.0152380952380952,7,2019,UNIVERSIDADE FEDERAL DE SERGIPE,federally_owned,university,3,2,28,2806701,2,2064512.28,883685087.41,59978137.27,284769411.85,153337375.6,108034657.17,149160413.67,8212361.64,1445146.3,320418588.31,0.0544554455445545,0.925192519251925,0,0.29042904290429,0.690869086908691,0.462596259625963,0.564906490649065,0,0.766776677667767,0.102860286028603,0.13036303630363,0,0.750825082508251,0.187018701870187,0.037953795379538,0.0242024202420242,0,TRUE,FALSE,FALSE,FALSE
4,28424,67,39,1,0,0,101,6,0,11,2019,UNIVERSIDADE FEDERAL DO AMAZONAS,federally_owned,university,4,1,13,1302603,1,5603181.06,1063314898.42,1721653.86,448206222.23,0,132201005.75,183971171.89,12676251.59,1312837.53,68453298.55,0.0189546237794371,0.98564043653073,0,0.162550258472142,0.145318782309018,0.14704192992533,0.125215393452039,0.0987937966685813,0.790924755887421,0.15393452039058,0.0551407237219989,0,0.628948879954049,0.23779437105112,0.0735209649626651,0.0597357840321654,0,TRUE,FALSE,FALSE,FALSE
5,28716,55,45,0,0,0,85,15,0,6,2019,UNIVERSIDADE FEDERAL DO PIAUÍ,federally_owned,university,14054,2,22,2211001,2,8060281.08,836910957.14,10979492.81,683438319,0,0,163112358.43,7835737,1339772.3,0,0.0561017929438982,0.989010989010989,0.246963562753036,0.246963562753036,0.280508964719491,0.307113938692886,0.381145170618855,0.263736263736264,0.758241758241758,0.174667437825333,0.0670908039329092,0,0.644881434355119,0.266628108733372,0.0867553499132447,0.00173510699826489,0,TRUE,FALSE,FALSE,FALSE
6,12185,39,16,0,0,0,51,4,0.00417843137254902,6,2019,UNIVERSIDADE FEDERAL DE OURO PRETO,federally_owned,university,6,3,31,3146107,2,5905654.74,499218511.41,30461740.62,169161732.76,58998771.15,40920865.82,49075498.59,73345.77,828200,216527492.7,0.0390428211586902,0.963476070528967,0,0.386649874055416,0.322418136020151,0.278337531486146,0.431989924433249,0.167506297229219,0.92191435768262,0.0680100755667506,0.0100755667506297,0,0.866498740554156,0.114609571788413,0.0163727959697733,0.00251889168765743,0,TRUE,FALSE,FALSE,FALSE
7,13176,47,25,1,3,0,71,5,0,5,2019,UNIVERSIDADE FEDERAL DE SÃO CARLOS,federally_owned,university,1302,3,35,3548906,2,4209311.55,10426023.25,764191884.59,209736728.4,139824485.6,95183980.79,63390469.11,13498425.66,755841.18,132298694.12,0.0341818181818182,0.941090909090909,0,0.639272727272727,0.629090909090909,0.0407272727272727,0.936,0,0.885090909090909,0.0610909090909091,0.0538181818181818,0,0.946909090909091,0.0465454545454545,0.00436363636363636,0.00218181818181818,0,TRUE,FALSE,FALSE,FALSE
8,13832,53,21,1,9,0,84,0,0,3,2019,UNIVERSIDADE FEDERAL DE VIÇOSA,federally_owned,university,15588,3,31,3171303,1,9643515.2,978861159.91,1530406.07,368205404.08,0,120746904.93,148585438.24,27385128.13,1040393.42,5015107.33,0,0.911610486891386,0,0,0.734831460674157,0.531086142322097,0.759550561797753,0,0.871910112359551,0.110861423220974,0.0172284644194757,0,0.813483146067416,0.123595505617978,0.0164794007490637,0.0464419475655431,0,TRUE,FALSE,FALSE,FALSE
9,13081,39,17,0,2,0,57,1,0.0491228070175439,3,2019,UNIVERSIDADE ESTADUAL DE LONDRINA,state_owned,university,37,4,41,4113700,2,18454376,791688915,60524877,250841862,314295330,130855305,139665661,7447206,4959880,0,0.00558971492453885,0.895472330911124,0,0.249301285634433,0.581889323644494,0.219675796534377,0.664617104527669,0.0100614868641699,0.563443264393516,0.184460592509782,0.242034656232532,0.0100614868641699,0.748462828395752,0.197316936836221,0.0480715483510341,0.00614868641699273,0,TRUE,FALSE,FALSE,FALSE
10,21343,82,16,17,0,0,100,15,0,7,2019,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,private_nonprofit,university,10,4,41,4106902,2,652351476.02,3361504.37,6311982.36,185080757.83,52202265.03,108865152.26,103892593.3,204568458.05,7415736.28,0,0.024822695035461,0.932624113475177,0,0.000709219858156028,0.00921985815602837,0.0943262411347518,0.371631205673759,0.343262411347518,0,0.326950354609929,0.509219858156028,0.163829787234043,0.502836879432624,0.436170212765957,0.0588652482269504,0.00212765957446809,0,TRUE,TRUE,TRUE,FALSE
11,9863,22,9,2,0,0,33,0,0.0566454545454546,1,2019,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,private_nonprofit,university,11,2,26,2611606,2,156854682,0,50456955,74852160,32069790,42261883,45473330,17408235,635600,3185575,0,0.959016393442623,0,0.184426229508197,0.284836065573771,0.290983606557377,0.42827868852459,0.0204918032786885,0,0.358606557377049,0.284836065573771,0.35655737704918,0.493852459016394,0.424180327868852,0.0819672131147541,0,0,TRUE,TRUE,TRUE,FALSE
12,9322,40,18,6,0,0,61,3,0,7,2019,UNIVERSIDADE FEDERAL DO RIO GRANDE,federally_owned,university,15596,4,43,4315602,1,3920562.43,593579460.73,467815.82,208003251.74,124801951.04,83201300.69,73641539.77,7429329.42,8182393.31,0,0.0346585117227319,0.919469928644241,0,0.387359836901121,0.649337410805301,0.0621814475025484,0.577981651376147,0.0275229357798165,0.802242609582059,0.17533129459735,0.0224260958205912,0,0.762487257900102,0.18756371049949,0.0346585117227319,0.0152905198776758,0,TRUE,FALSE,FALSE,FALSE
13,18483,91,26,40,0,6,145,18,0.179640689655172,10,2019,UNIVERSIDADE DE CAXIAS DO SUL,private_nonprofit,university,13,4,43,4305108,2,317830674.88,0,23340784.81,116640929.45,40981947.99,38592335.59,126240140.93,13363049.17,4143807.32,0,0.181200453001133,0.983012457531144,0,0.212910532276331,0.600226500566251,0.253680634201586,0.225368063420159,0.0260475651189128,0,0.352208380520951,0.319365798414496,0.328425821064553,0.397508493771234,0.482446206115515,0.12004530011325,0,0,TRUE,TRUE,FALSE,FALSE
14,20161,69,15,30,0,0,95,19,0.126631578947368,3,2019,UNIVERSIDADE DO VALE DO RIO DOS SINOS,private_nonprofit,university,14,4,43,4318705,2,412720706,48648435,69215817,132009348,36078384,45598881,102854805,8555525,14070742,32473758,0.0921757770632369,0.960342979635584,0,0.335476956055734,0.403001071811361,0.753483386923901,0.344051446945338,0.0986066452304394,0,0.335476956055734,0.558413719185423,0.106109324758842,0.604501607717042,0.368703108252948,0.0267952840300107,0,0,TRUE,TRUE,TRUE,FALSE
15,3419,23,7,5,0,0,32,3,0.2,3,2019,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,private_nonprofit,university,15046,3,33,3303906,1,46198503.13,0,834060.58,23197965.58,7367032.7,3468683.37,6647854.85,396918.57,0,2575759.6,0.253968253968254,1,0,0.227513227513228,0.465608465608466,0.227513227513228,0.455026455026455,0,0,0.343915343915344,0.544973544973545,0.111111111111111,0.402116402116402,0.566137566137566,0.0317460317460317,0,0,TRUE,TRUE,TRUE,FALSE
17,22472,68,29,0,11,0,104,4,0.00499134615384616,8,2019,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,federally_owned,university,9140,3,31,3170206,2,8014066.92,829371252.66,6909390.03,325488978.46,116440189.4,207078746.92,184543585.61,10743209.22,0,0,0.0252016129032258,0.983366935483871,0,0.358870967741936,0.450604838709677,0.566028225806452,0.767137096774194,0.104334677419355,0.848286290322581,0.138608870967742,0.0131048387096774,0,0.855846774193548,0.112903225806452,0.0171370967741935,0.0141129032258065,0,TRUE,FALSE,FALSE,FALSE
18,3505,23,5,13,0,0,25,16,0.156,2,2019,UNIVERSIDADE CATÓLICA DE PELOTAS,private_nonprofit,university,18,4,43,4314407,2,113995940.85,0,5009556.06,29760939.73,10314831.92,6707597.48,249635.84,3410787.98,3085671.97,61818974.51,0.122516556291391,0.97682119205298,0,0.132450331125828,0.129139072847682,0.149006622516556,0.129139072847682,0.0463576158940397,0,0.334437086092715,0.536423841059603,0.129139072847682,0.317880794701987,0.357615894039735,0.324503311258278,0,0,TRUE,TRUE,TRUE,FALSE
19,14190,48,10,4,0,0,62,0,0,2,2019,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,private_nonprofit,university,19,3,35,3509502,2,302672689.42,5600493.65,56104124.02,94571612.58,50702652.07,65153639.83,56078866.55,25510000,9919130.66,8224226.54,0,0.985824742268041,0,0.123711340206186,0.0438144329896907,0.243556701030928,0.161082474226804,0.0167525773195876,0,0.335051546391753,0.192010309278351,0.472938144329897,0.545103092783505,0.315721649484536,0.139175257731959,0,0,TRUE,TRUE,TRUE,FALSE
20,12191,53,22,14,0,0,89,0,0.0158280898876404,7,2019,UNIVERSIDADE DE PASSO FUNDO,private_nonprofit,university,20,4,43,4314100,1,290319968.74,1900218.71,22579106.91,148842717.26,53465483.62,14209362.64,102567282.16,6077092.99,3587287.34,19933426.34,0,0.9875,0,0.20375,0.3,0.53625,0.22,0.0225,0,0.31875,0.39625,0.285,0.37375,0.4675,0.15875,0,0,TRUE,TRUE,FALSE,FALSE
21,15738,40,12,5,0,0,57,0,0.0614035087719298,1,2019,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,private_nonprofit,university,21,4,43,4314902,2,613746222,0,88647674,122683734,87602977,113001397,167115574,24764532,24900847,133376746,0,0.971671388101983,0,0.307837582625118,0.225684608120869,0.235127478753541,0.338999055712937,0.0151085930122757,0.106704438149197,0.269121813031161,0.411709159584514,0.212464589235127,0.698772426817753,0.274787535410765,0.0245514636449481,0.00188857412653447,0,TRUE,TRUE,TRUE,FALSE
