program_code,HEI_code,active,program_name,campus_code,program_cine_code,degree_type,program_type,course_load,percent_dist,students_enrolled
1,1,active,DIREITO,105340,0421D01,bachelor,classroom,3700,0,447
2,1,active,CIÊNCIAS ECONÔMICAS,105340,0311E01,bachelor,classroom,3000,0,323
3,1,active,ENGENHARIA CIVIL,105340,0732E01,bachelor,classroom,3960,0,248
6,1,active,PEDAGOGIA,105340,0113P01,license,classroom,3545,10,331
7,1,active,SERVIÇO SOCIAL,105340,0923S01,bachelor,classroom,3204,0,274
8,1,active,CIÊNCIAS CONTÁBEIS,105340,0411C01,bachelor,classroom,3024,0,296
9,1,active,AGRONOMIA,105340,0811A04,bachelor,classroom,4778,0,382
10,1,active,ENGENHARIA FLORESTAL,105340,0821E01,bachelor,classroom,4364,0,363
12,1,active,MEDICINA,105340,0912M01,bachelor,classroom,8822,10,490
13,1,active,ADMINISTRAÇÃO,105340,0413A01,bachelor,classroom,3416,7.49,443
15,1,active,GEOLOGIA,105340,0532G02,bachelor,classroom,3776,0,162
16,1,active,ENGENHARIA ELÉTRICA,105340,0713E05,bachelor,classroom,3840,0,354
17,1,active,ENFERMAGEM,105340,0913E01,bachelor,classroom,4272,0,253
19,1,active,EDUCAÇÃO FÍSICA,105340,0114E03,license,classroom,3260,0,161
20,1,active,NUTRIÇÃO,105340,0915N01,bachelor,classroom,3998,0,279
21,1,active,CIÊNCIAS CONTÁBEIS,1005348,0411C01,bachelor,classroom,3056,0,325
23,1,active,PEDAGOGIA,1005348,0113P01,license,classroom,3240,0,167
24,1,active,GEOGRAFIA,1005348,0114G01,license,classroom,3200,0,123
25,1,active,HISTÓRIA,1005348,0114H01,license,classroom,2992,0,101
26,1,active,MATEMÁTICA,105340,0114M01,license,classroom,3328,0,171
27,1,active,FÍSICA,105340,0114F02,license,classroom,2850,0,217
29,1,active,CIÊNCIAS BIOLÓGICAS,105340,0114B01,license,classroom,3200,0,156
32,1,active,CIÊNCIAS BIOLÓGICAS,1005348,0114B01,license,classroom,2872,0,127
34,1,active,MATEMÁTICA,1005348,0114M01,license,classroom,3200,0,128
36,1,active,CIÊNCIA DA COMPUTAÇÃO,105340,0614C01,bachelor,classroom,3300,0,193
37,1,active,MEDICINA VETERINÁRIA,105340,0841M01,bachelor,classroom,4160,0,311
44,1,active,ARQUITETURA E URBANISMO,105340,0731A02,bachelor,classroom,3600,0,281
116,2,active,GEOLOGIA,4229,0532G02,bachelor,classroom,3960,0,271
119,2,active,ESTATÍSTICA,4229,0542E01,bachelor,classroom,3000,0,296
122,2,active,CIÊNCIAS ECONÔMICAS,4229,0311E01,bachelor,classroom,3000,0,470
126,2,active,SERVIÇO SOCIAL,4229,0923S01,bachelor,classroom,3000,0,326
127,2,active,CIÊNCIA DA COMPUTAÇÃO,4229,0614C01,bachelor,classroom,3210,0,360
128,2,active,RELAÇÕES INTERNACIONAIS,4229,0312R01,bachelor,classroom,2790,0,486
132,2,active,ARQUITETURA E URBANISMO,4229,0731A02,bachelor,classroom,3750,0,532
133,2,active,MÚSICA,4229,0114M02,license,classroom,2850,0,116
135,2,active,AGRONOMIA,4229,0811A04,bachelor,classroom,3960,0,697
136,2,active,ENGENHARIA CIVIL,4229,0732E01,bachelor,classroom,3930,0,414
137,2,active,ENGENHARIA ELÉTRICA,4229,0713E05,bachelor,classroom,3930,0,431
138,2,active,ENGENHARIA MECÂNICA,4229,0715E02,bachelor,classroom,3930,0,419
139,2,active,ENGENHARIA FLORESTAL,4229,0821E01,bachelor,classroom,3870,0,424
140,2,active,MEDICINA,4229,0912M01,bachelor,classroom,7200,0,568
141,2,active,ODONTOLOGIA,4229,0911O01,bachelor,classroom,4005,0,289
142,2,active,EDUCAÇÃO FÍSICA,4229,0114E03,license,classroom,2820,0,372
143,2,active,ENFERMAGEM,4229,0913E01,bachelor,classroom,4020,0,400
144,2,active,NUTRIÇÃO,4229,0915N01,bachelor,classroom,3510,0,312
145,2,active,ADMINISTRAÇÃO,4229,0413A01,bachelor,classroom,3000,0,1095
146,2,active,BIBLIOTECONOMIA,4229,0322B01,bachelor,classroom,2700,0,335
148,2,active,DIREITO,4229,0421D01,bachelor,classroom,3840,0,686
149,2,active,CIÊNCIAS CONTÁBEIS,4229,0411C01,bachelor,classroom,3000,0,589
150,2,active,PEDAGOGIA,4229,0113P01,license,classroom,3210,0,670
151,2,active,ARTES PLÁSTICAS,4229,0114A02,license,classroom,2800,0,124
156,2,active,CIÊNCIA POLÍTICA,4229,0312C01,bachelor,classroom,2670,0,444
157,2,active,ARQUIVOLOGIA,4229,0322A01,bachelor,classroom,2400,0,367
158,2,active,FÍSICA,4229,0114F02,license,classroom,3300,0,191
159,2,active,QUÍMICA,4229,0114Q01,license,classroom,3045,0,218
160,2,active,CIÊNCIAS BIOLÓGICAS,4229,0114B01,license,classroom,3060,0,389
161,2,active,MATEMÁTICA,4229,0114M01,license,classroom,2820,0,166
162,2,active,LETRAS - PORTUGUÊS,4229,0115L13,license,classroom,2800,0,391
163,2,active,PEDAGOGIA,4229,0113P01,license,classroom,3210,0,354
164,2,extinction,EDUCAÇÃO ARTÍSTICA,4229,0114A01,license,classroom,2800,0,0
165,2,active,DIREITO,4229,0421D01,bachelor,classroom,3840,0,675
166,2,active,LETRAS - ESPANHOL,4229,0115L02,license,classroom,2800,0,237
167,2,active,CIÊNCIAS CONTÁBEIS,4229,0411C01,bachelor,classroom,3000,0,553
294,3,active,ENGENHARIA CIVIL,1006435,0732E01,bachelor,classroom,4125,0,515
295,3,active,ENGENHARIA QUÍMICA,1006435,0711E05,bachelor,classroom,3990,0,237
297,3,active,MATEMÁTICA,1006435,0114M01,license,classroom,3045,0,423
299,3,active,QUÍMICA INDUSTRIAL,1006435,0531Q02,bachelor,classroom,3150,0,155
302,3,active,ENFERMAGEM,1451,0913E01,bachelor,classroom,4000,0,327
303,3,active,MEDICINA,1451,0912M01,bachelor,classroom,7455,0,637
304,3,active,ODONTOLOGIA,1451,0911O01,bachelor,classroom,4110,0,193
306,3,active,CIÊNCIAS CONTÁBEIS,1006435,0411C01,bachelor,classroom,3000,0,493
308,3,active,DIREITO,1006435,0421D01,bachelor,classroom,3780,0,562
310,3,active,GEOGRAFIA,1006435,0312G01,bachelor,classroom,3050,0,64
311,3,active,HISTÓRIA,1006435,0114H01,license,classroom,2865,0,464
315,3,active,PEDAGOGIA,1006435,0113P01,license,classroom,3255,0,459
317,3,active,CIÊNCIA DA COMPUTAÇÃO,1006435,0614C01,bachelor,classroom,3210,20,426
318,3,active,CIÊNCIAS SOCIAIS,1006435,0312C02,bachelor,classroom,2220,0,176
319,3,active,ENGENHARIA AGRONÔMICA,1006435,0811A04,bachelor,classroom,3990,0,263
321,3,active,MATEMÁTICA,1006435,0541M01,bachelor,classroom,2580,0,54
322,3,active,QUÍMICA,1006435,0531Q01,bachelor,classroom,2880,0,168
326,3,active,FILOSOFIA,1006435,0114F01,license,classroom,2850,0,165
327,3,active,CIÊNCIAS BIOLÓGICAS,1006435,0114B01,license,classroom,3255,0,359
328,3,active,GEOGRAFIA,1006435,0114G01,license,classroom,3035,0,330
376,4,active,DIREITO,1036292,0421D01,bachelor,classroom,3945,0,672
377,4,active,SERVIÇO SOCIAL,1036292,0923S01,bachelor,classroom,3165,0,416
378,4,active,CIÊNCIAS ECONÔMICAS,1036292,0311E01,bachelor,classroom,3020,0,560
379,4,active,MATEMÁTICA,1036292,0114M01,license,classroom,2280,0,478
380,4,active,FILOSOFIA,1036292,0114F01,license,classroom,3410,0,244
381,4,active,PEDAGOGIA,1036292,0113P01,license,classroom,3325,0,1218
382,4,active,QUÍMICA,1036292,0114Q01,license,classroom,2940,0,427
383,4,active,ENGENHARIA CIVIL,1036292,0732E01,bachelor,classroom,4050,0,305
385,4,active,ENGENHARIA FLORESTAL,1036292,0821E01,bachelor,classroom,4080,0,208
386,4,active,ENGENHARIA DE PESCA,1036292,0831E01,bachelor,classroom,3855,0,213
388,4,active,CIÊNCIAS CONTÁBEIS,1036292,0411C01,bachelor,classroom,3660,0,678
389,4,active,MEDICINA,1041324,0912M01,bachelor,classroom,8125,0,800
390,4,active,FARMÁCIA,1043390,0916F01,bachelor,classroom,4770,0,250
391,4,active,ODONTOLOGIA,1038994,0911O01,bachelor,classroom,4060,0,228
392,4,active,ADMINISTRAÇÃO,1036292,0413A01,bachelor,classroom,3060,0,1113
393,4,active,BIBLIOTECONOMIA,1036292,0322B01,bachelor,classroom,2745,0,250
394,4,active,CIÊNCIAS NATURAIS,1036292,0114C02,license,classroom,2915,0,337
395,4,active,COMUNICAÇÃO SOCIAL - JORNALISMO,1036292,0321J01,bachelor,classroom,2880,0,186
