HEI_code,HEI_name,fac_qual,sci_work,acad_manag,spat_dist,train_offer,employment,acad_form,legal_system,ownership,tec_prof,logic_train,logic_schol,logic_relig,logic_comm,logic_market,logic_state,logic_number
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,0.639406779661017,0.661864406779661,0.635169491525424,7,0,0.95635593220339,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
2,UNIVERSIDADE DE BRASÍLIA,0.86789240721825,0.342526387470208,0.196799455226422,5,0,0.931222335716718,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
3,UNIVERSIDADE FEDERAL DE SERGIPE,0.750825082508251,0.564906490649065,0.462596259625963,7,0,0.86963696369637,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
4,UNIVERSIDADE FEDERAL DO AMAZONAS,0.628948879954049,0.125215393452039,0.14704192992533,11,1,0.944859276278001,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
5,UNIVERSIDADE FEDERAL DO PIAUÍ,0.644881434355119,0.381145170618855,0.307113938692886,6,0,0.932909196067091,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
6,UNIVERSIDADE FEDERAL DE OURO PRETO,0.866498740554156,0.431989924433249,0.278337531486146,6,0,0.98992443324937,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,0.946909090909091,0.936,0.0407272727272727,5,1,0.946181818181818,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
8,UNIVERSIDADE FEDERAL DE VIÇOSA,0.813483146067416,0.759550561797753,0.531086142322097,3,1,0.982771535580524,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
9,UNIVERSIDADE ESTADUAL DE LONDRINA,0.748462828395752,0.664617104527669,0.219675796534377,3,0,0.747903856903298,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,0.502836879432624,0.371631205673759,0.0943262411347518,7,17,0.326950354609929,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,0.493852459016394,0.42827868852459,0.290983606557377,1,2,0.358606557377049,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
12,UNIVERSIDADE FEDERAL DO RIO GRANDE,0.762487257900102,0.577981651376147,0.0621814475025484,7,6,0.977573904179409,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
13,UNIVERSIDADE DE CAXIAS DO SUL,0.397508493771234,0.225368063420159,0.253680634201586,10,40,0.352208380520951,university,private,communitary,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3
14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,0.604501607717042,0.344051446945338,0.753483386923901,3,30,0.335476956055734,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,0.402116402116402,0.455026455026455,0.227513227513228,3,5,0.343915343915344,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,0.855846774193548,0.767137096774194,0.566028225806452,8,0,0.986895161290322,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
18,UNIVERSIDADE CATÓLICA DE PELOTAS,0.317880794701987,0.129139072847682,0.149006622516556,2,13,0.334437086092715,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,0.545103092783505,0.161082474226804,0.243556701030928,2,4,0.335051546391753,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
20,UNIVERSIDADE DE PASSO FUNDO,0.37375,0.22,0.53625,7,14,0.31875,university,private,communitary,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3
21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,0.698772426817753,0.338999055712937,0.235127478753541,1,5,0.375826251180359,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
22,UNIVERSIDADE PRESBITERIANA MACKENZIE,0.659188955996549,0.773943054357205,0.165660051768766,4,11,0.47886108714409,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
23,UNIVERSIDADE FEEVALE,0.418837675350701,0.25250501002004,0.332665330661323,4,28,0.318637274549098,university,private,communitary,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3
24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,0.69060773480663,0.0400552486187845,0.100828729281768,2,0,0.977900552486188,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,0.906976744186047,0.604651162790698,0.372093023255814,1,0,0.790697674418605,faculty,public,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
27,UNIVERSIDADE VALE DO RIO VERDE,0.219827586206897,0.21551724137931,0.155172413793103,6,5,0.331896551724138,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
29,UNIVERSIDADE ESTADUAL DO CEARÁ,0.558430717863105,0.3330550918197,0.462437395659432,9,0,0.936560934891486,university,public,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
